min_Gmag_bin,max_Gmag_bin,factor_VIS
4.0,5.0,4.73133993517712
5.0,6.0,4.320290602521085
6.0,7.0,4.365005058722744
7.0,8.0,4.8664917830201
8.0,9.0,4.083405508698693
9.0,10.0,3.924674953638866
10.0,11.0,3.458458915026158
11.0,12.0,2.5920413686297694
12.0,13.0,3.2816342620140695
13.0,14.0,2.5293424568824525
14.0,15.0,2.082622995126384
15.0,16.0,1.7874330580664461
16.0,17.0,1.6369679450560892
17.0,18.0,1.6975763480970485
18.0,19.0,1.627801297556834
19.0,20.0,1.5867862279803817
20.0,21.0,1.4789436149221618
