min_Gmag_bin,max_Gmag_bin,factor_Hp,factor_BT,factor_VT
4.0,5.0,4.466942410612706,3.235523819362603,3.4032400540576866
5.0,6.0,4.417779566108623,2.9868022333754918,3.468104116679667
6.0,7.0,5.110074680918903,3.54322173488298,3.8898366796472073
7.0,8.0,4.845271504854795,3.124652314514034,3.756583297115992
8.0,9.0,4.120048161280915,3.093747698585436,2.761412334153653
9.0,10.0,4.402623621365471,3.332739113745503,3.2088184359984213
10.0,11.0,4.60614661974285,3.157206087650273,3.409066973838784
11.0,12.0,3.634861250651172,2.6470939085911143,2.4589878922903337
12.0,13.0,3.5137672125092583,2.2813296350915184,2.4637859344289623
13.0,14.0,2.997881035782025,2.100209542703979,1.9619126940359104
14.0,15.0,2.2750549343341007,1.7365122082349758,1.5578445050694112
15.0,16.0,1.9719765276737524,1.6203679156105562,1.368135537470869
16.0,17.0,1.9272907801244727,1.5703804960368886,1.3408810210045874
17.0,18.0,1.941059838081012,1.5336968568355454,1.3667381647722787
18.0,19.0,2.004569882753638,1.5426099708038077,1.400377407212862
19.0,20.0,1.9709331752684316,1.5073494296096246,1.3522494478255913
20.0,21.0,1.8498826180744303,1.5025514109496036,1.253646615568358
