min_Gmag_bin,max_Gmag_bin,factor_f438w,factor_f606w,factor_f814w
4.0,5.0,2.490216685971506,3.0848653802590427,5.60982523997235
5.0,6.0,2.4171957765742476,2.6345311012781236,5.656330364724087
6.0,7.0,2.5473625972761966,2.6872807087316093,5.9286816115273595
7.0,8.0,2.148838931565963,2.7506401240093847,5.991720108096958
8.0,9.0,1.8700464038519486,2.6167885183228083,4.919306191267839
9.0,10.0,2.17588006010085,2.96578147030979,5.151796300505889
10.0,11.0,2.3774447015512035,2.866812202369176,4.600808958306125
11.0,12.0,2.181313099795706,2.1077165465750483,3.7241981108789513
12.0,13.0,1.8291088764228873,1.971672897637963,3.8028058444237223
13.0,14.0,1.723530937403197,1.7170388655602014,2.881498559612181
14.0,15.0,1.43362516446104,1.4724331349457478,2.192626403859893
15.0,16.0,1.2759574830488156,1.342556245924036,1.8717978656945866
16.0,17.0,1.2027309976540144,1.2743358559271845,1.6702509064745152
17.0,18.0,1.0762415913321748,1.289288095717699,1.7658171694927796
18.0,19.0,1.0825750313892528,1.2753846359453658,1.645671103562404
19.0,20.0,0.9289175165640513,1.1175150615719245,1.5966504772858363
20.0,21.0,0.8718101909326368,0.9945126825807584,1.5106328364581993
