min_Gmag_bin,max_Gmag_bin,factor_U,factor_B,factor_V,factor_R,factor_I
4.0,5.0,2.1332476076194644,3.7639394469835423,2.9244580300916274,2.636246835675984,5.784882631040767
5.0,6.0,2.02217305068722,3.4693886007911687,3.039862906610465,2.3573465665758553,5.626106936003806
6.0,7.0,2.3357487779928503,4.013668922942218,3.4714105744170567,2.579647620784826,5.6488839091684016
7.0,8.0,1.8517057207606853,3.692539008345552,3.356884019317154,2.851818931834462,5.736320906990159
8.0,9.0,2.117310384087946,3.755237694401856,2.7880737820456654,2.3831098200217533,4.719650667598022
9.0,10.0,2.2519477157707364,3.813623011488859,3.2347882671354253,2.5535685715772214,4.774550524728603
10.0,11.0,1.9704880037141215,3.8111572934721334,3.350767428604688,2.4023097689973487,4.413130412131391
11.0,12.0,1.6847278316496064,3.3480061739780744,2.4199002130983036,1.8090970078455495,3.562593082257176
12.0,13.0,1.5215392745319711,2.8578455919064183,2.5578499100749803,2.2033417802963546,3.5898904581613156
13.0,14.0,1.3845001918399715,2.519907301966324,2.005037126424358,1.8273583786876257,2.6814102384104084
14.0,15.0,1.2632028260832961,1.957320023532594,1.6468805717752724,1.5605176364604025,2.043720528638313
15.0,16.0,1.10330672324245,1.720298217497727,1.3585072868421277,1.3472544069029992,1.6938838229122068
16.0,17.0,0.8151839213758124,1.5490390485784913,1.3035046047339254,1.2698328024837138,1.5581557037214793
17.0,18.0,0.7372457987117407,1.3949978509557166,1.289640354616124,1.2800847940510072,1.6760727481149533
18.0,19.0,0.8337548380057955,1.3551655002861818,1.2239847174514993,1.25372707592624,1.5625111610891214
19.0,20.0,0.5108998419942756,1.2035961369180757,1.1435493672021564,1.1563639710667908,1.5009374796385149
20.0,21.0,0.5126044155599085,1.0879475176744693,1.0947909494115018,1.0492192370026943,1.5099360602903031
