min_Gmag_bin,max_Gmag_bin,factor_u,factor_g,factor_r,factor_i,factor_z
4.0,5.0,1.7619029281602188,3.8827238400701556,2.0109495808350855,5.6266345497604755,3.257302615982372
5.0,6.0,1.778117038981335,3.537433603873464,1.7283933396196476,5.074792164500485,3.4918366387525754
6.0,7.0,1.9790441352747956,3.785419341679023,1.9701039139630903,4.793084460131544,3.7373785901064993
7.0,8.0,1.5594760771466536,3.5650564765923902,2.0532567730845477,4.6515443186859065,4.02833243312004
8.0,9.0,1.8625165095761336,3.2969549683653234,1.8439845162033426,3.9387536050564194,3.645892712096635
9.0,10.0,2.0471761418307253,3.6666632321897796,2.2467712697979074,4.31251229198663,3.3367151048943473
10.0,11.0,1.7801861312837752,3.817294790927555,2.1853389364212568,4.0570609408006515,2.944501609926381
11.0,12.0,1.5926180328920803,3.276607756327912,1.6963604288069813,3.2857768200755704,2.3153499483733837
12.0,13.0,1.4995623471924233,2.818536116892992,1.752986639989517,2.934347017514531,2.660198621197007
13.0,14.0,1.408061678274632,2.4663097071531244,1.460825791813435,2.373114954517863,2.161884358173816
14.0,15.0,1.310024706332542,1.8888917790128688,1.3011184252052428,1.8618347785815046,1.7712351130373527
15.0,16.0,1.2561056441494243,1.6401956070768384,1.200164959690448,1.6545501381246517,1.5436846314938462
16.0,17.0,1.1956769457518637,1.5328192607021096,1.1303176194681703,1.4753729582809938,1.3081047381330482
17.0,18.0,1.1511417242930777,1.5401265517112424,1.146451311030678,1.5494726459526809,1.3691979302739359
18.0,19.0,1.1809148115227668,1.6074458667302265,1.153564359273537,1.444314189600139,1.240917903072561
19.0,20.0,1.1774279464684865,1.5486114877241743,1.0784217233409379,1.439395431889478,1.1863746228105483
20.0,21.0,1.1851839237170527,1.518317701881887,1.094643530246778,1.5187431793995128,1.113920191013106
