min_Gmag_bin,max_Gmag_bin,factor_u,factor_g,factor_r,factor_i,factor_z
4.0,5.0,1.9057693304632166,3.8884836778343885,1.9916970066303226,5.640811466739082,3.4136411897518464
5.0,6.0,1.8104655630009279,3.6398593203194505,1.70805734838154,5.132976631586452,3.527971199129868
6.0,7.0,1.9313553492661073,3.8253466530464264,1.9214540860641063,4.788677223168161,3.9228616353854715
7.0,8.0,1.4470201218728143,3.6504987877913955,2.0272244028541024,4.60675738631875,4.122651495086179
8.0,9.0,1.8654213006365432,3.3121937614986523,1.8228034342424464,3.843016069492095,3.806569114288883
9.0,10.0,1.9698767839578646,3.6507286536348076,2.203988894162937,4.267613409674816,3.470477645776818
10.0,11.0,1.683528418533205,3.8246533228217583,2.16834078002742,4.043564147704167,3.1577698818086253
11.0,12.0,1.5164605345667996,3.274322671728415,1.6717168159960822,3.26966313215176,2.506677385143332
12.0,13.0,1.1727906010757996,2.825405729994113,1.7554492835801434,2.930221618949164,2.8309215573613207
13.0,14.0,1.174285115933997,2.4676014298640716,1.4455449732873111,2.3575940699613804,2.2734677403708625
14.0,15.0,1.1419632467497798,1.8630642130366226,1.2824968682256364,1.841021552760741,1.8449746130614098
15.0,16.0,1.0264777831875287,1.5906806644920102,1.1761117077645216,1.6285817297155019,1.5985914120706988
16.0,17.0,0.7434548846151937,1.490449875119364,1.1092464910621196,1.4637627241178512,1.440006831231171
17.0,18.0,0.6517408727819282,1.3638146456785831,1.1056077059131157,1.5263216759015323,1.5725635423529174
18.0,19.0,0.7498191031673548,1.4120172361612449,1.064330483678753,1.4143199588261153,1.3997838595242278
19.0,20.0,0.46680181025248546,1.2635755172082082,0.9633250454745876,1.3605724449047123,1.3557546071677438
20.0,21.0,0.44010987716589045,0.9697575444019335,0.8815273612254888,1.3713045215900084,1.244094507045143
