min_Gmag_bin,max_Gmag_bin,factor_u,factor_u2,factor_v,factor_g,factor_r,factor_i,factor_z
4.0,5.0,1.4787161178232302,1.6773210759519035,1.6715846630682782,4.028914112789297,2.6360667360124976,5.346217587652252,1.7811009855580262
5.0,6.0,1.4548880106402429,1.6543316473514258,1.7201021323337384,3.9938752725213456,2.1417326743102345,5.186327678968054,1.8105684561292632
6.0,7.0,1.6482569044402735,1.848920142227353,1.9833985321633516,4.434090008028615,2.340023256960678,4.532626900883852,1.7463041477452097
7.0,8.0,1.2508686379158114,1.4011167734502,1.6926218101054669,4.236028456557336,2.4193458284831544,4.61400747007931,2.036883427266149
8.0,9.0,1.5323715627780503,1.7248418746858158,2.014445950322889,3.372998886173105,2.2719004555490683,3.79802666675843,1.8489099303460923
9.0,10.0,1.5935083982944,1.84436841843228,2.116117943057228,3.9160713098440905,2.71419183637501,4.1605029025583935,1.6101708866044933
10.0,11.0,1.4548909700582962,1.6309660617074455,1.7770895855916202,4.2187784988707415,2.5812336284679334,3.8422055340010153,1.3531654081743578
11.0,12.0,1.372469833073252,1.4906050221985216,1.5325113869545608,3.1266721348057938,1.9765779751211603,3.072912623866384,1.1498383933023444
12.0,13.0,1.3039582607568423,1.4216909763341599,1.4211586706192212,2.965243976583552,1.9833951592160903,2.903877257202239,1.3833185963626358
13.0,14.0,1.2481432235808998,1.3313964204472222,1.3552029049977359,2.4629901566435857,1.6670106146492532,2.300529870433735,1.3046315256582202
14.0,15.0,1.2220821698860076,1.2791510902859995,1.2788282079999274,1.8686312442207011,1.4547284591591811,1.758672018038622,1.1959686660935729
15.0,16.0,1.1586193195428731,1.2111266891453685,1.2600072544082932,1.5680816554372081,1.2879564581325638,1.5430821838154172,1.1385521248929669
16.0,17.0,1.1106447062417766,1.1582966425696422,1.2288240850850194,1.5501225180828813,1.2112732243051487,1.418415274419664,1.0559699169816223
17.0,18.0,1.0763941179550285,1.1096355288577169,1.1843615566971828,1.608956682458019,1.2443767897662967,1.4756640061512871,1.0866953536742163
18.0,19.0,1.0981906960475392,1.1488490304102923,1.2119098998474471,1.6355785936033405,1.261265900976954,1.368432872994784,1.0270864999187124
19.0,20.0,1.1298408363909065,1.1817380672699156,1.2451346739951847,1.606551278689263,1.1827023540098345,1.3860476739659169,1.003288668454238
20.0,21.0,1.160407842001052,1.1638444284597624,1.2757421604700454,1.5885081780414552,1.1843354597477638,1.3696541697253275,1.0089672830972107
