min_Gmag_bin,max_Gmag_bin,factor_R062,factor_Z087
4.0,5.0,3.579872047650051,3.846912361856572
5.0,6.0,2.996753411439762,3.763339346522767
6.0,7.0,3.18808895040382,4.137069017944073
7.0,8.0,3.230427432020433,4.358173890093717
8.0,9.0,2.969385072601848,3.7194625443989335
9.0,10.0,3.0794989355299105,3.7407831259700024
10.0,11.0,2.9144957551774224,3.3195460755885104
11.0,12.0,2.202502300340541,2.647667978174667
12.0,13.0,2.2992721930299043,2.902349348380862
13.0,14.0,1.9555247462709038,2.332376251465905
14.0,15.0,1.6519892285944189,1.8953680979406378
15.0,16.0,1.481626143029195,1.5927213490723255
16.0,17.0,1.4023147183000322,1.4615975111404262
17.0,18.0,1.4539653808772253,1.5842557502453105
18.0,19.0,1.496499222836802,1.4428075051725031
19.0,20.0,1.443984617658233,1.402501372566779
20.0,21.0,1.3885119809873023,1.396926144137634
