wl_nm,bp_pwl,rp_pwl
300.00000,62.52577,
301.00000,62.07562,
302.00000,61.63182,
303.00000,61.19417,
304.00000,60.76249,
305.00000,60.33658,
306.00000,59.91625,
307.00000,59.50131,
308.00000,59.09158,
309.00000,58.68685,
310.00000,58.28695,
311.00000,57.89169,
312.00000,57.50086,
313.00000,57.11429,
314.00000,56.73178,
315.00000,56.35314,
316.00000,55.97822,
317.00000,55.60696,
318.00000,55.23936,
319.00000,54.87540,
320.00000,54.51506,
321.00000,54.15834,
322.00000,53.80522,
323.00000,53.45569,
324.00000,53.10973,
325.00000,52.76732,
326.00000,52.42846,
327.00000,52.09313,
328.00000,51.76132,
329.00000,51.43301,
330.00000,51.10820,
331.00000,50.78685,
332.00000,50.46897,
333.00000,50.15454,
334.00000,49.84354,
335.00000,49.53597,
336.00000,49.23179,
337.00000,48.93097,
338.00000,48.63346,
339.00000,48.33921,
340.00000,48.04816,
341.00000,47.76027,
342.00000,47.47548,
343.00000,47.19375,
344.00000,46.91502,
345.00000,46.63925,
346.00000,46.36638,
347.00000,46.09637,
348.00000,45.82916,
349.00000,45.56471,
350.00000,45.30296,
351.00000,45.04386,
352.00000,44.78737,
353.00000,44.53343,
354.00000,44.28199,
355.00000,44.03301,
356.00000,43.78643,
357.00000,43.54223,
358.00000,43.30038,
359.00000,43.06085,
360.00000,42.82362,
361.00000,42.58866,
362.00000,42.35594,
363.00000,42.12544,
364.00000,41.89713,
365.00000,41.67098,
366.00000,41.44697,
367.00000,41.22507,
368.00000,41.00525,
369.00000,40.78749,
370.00000,40.57177,
371.00000,40.35805,
372.00000,40.14630,
373.00000,39.93651,
374.00000,39.72864,
375.00000,39.52267,
376.00000,39.31857,
377.00000,39.11633,
378.00000,38.91591,
379.00000,38.71729,
380.00000,38.52047,
381.00000,38.32540,
382.00000,38.13207,
383.00000,37.94046,
384.00000,37.75055,
385.00000,37.56231,
386.00000,37.37572,
387.00000,37.19076,
388.00000,37.00741,
389.00000,36.82565,
390.00000,36.64545,
391.00000,36.46679,
392.00000,36.28966,
393.00000,36.11402,
394.00000,35.93985,
395.00000,35.76714,
396.00000,35.59587,
397.00000,35.42601,
398.00000,35.25755,
399.00000,35.09048,
400.00000,34.92478,
401.00000,34.76044,
402.00000,34.59744,
403.00000,34.43576,
404.00000,34.27540,
405.00000,34.11633,
406.00000,33.95854,
407.00000,33.80202,
408.00000,33.64675,
409.00000,33.49272,
410.00000,33.33990,
411.00000,33.18830,
412.00000,33.03788,
413.00000,32.88864,
414.00000,32.74055,
415.00000,32.59361,
416.00000,32.44781,
417.00000,32.30312,
418.00000,32.15954,
419.00000,32.01705,
420.00000,31.87565,
421.00000,31.73532,
422.00000,31.59606,
423.00000,31.45784,
424.00000,31.32067,
425.00000,31.18452,
426.00000,31.04939,
427.00000,30.91526,
428.00000,30.78213,
429.00000,30.64998,
430.00000,30.51880,
431.00000,30.38859,
432.00000,30.25932,
433.00000,30.13098,
434.00000,30.00358,
435.00000,29.87709,
436.00000,29.75150,
437.00000,29.62680,
438.00000,29.50300,
439.00000,29.38007,
440.00000,29.25801,
441.00000,29.13681,
442.00000,29.01646,
443.00000,28.89696,
444.00000,28.77830,
445.00000,28.66046,
446.00000,28.54344,
447.00000,28.42723,
448.00000,28.31182,
449.00000,28.19721,
450.00000,28.08339,
451.00000,27.97034,
452.00000,27.85805,
453.00000,27.74653,
454.00000,27.63576,
455.00000,27.52574,
456.00000,27.41645,
457.00000,27.30788,
458.00000,27.20004,
459.00000,27.09291,
460.00000,26.98650,
461.00000,26.88078,
462.00000,26.77576,
463.00000,26.67143,
464.00000,26.56778,
465.00000,26.46480,
466.00000,26.36250,
467.00000,26.26086,
468.00000,26.15987,
469.00000,26.05953,
470.00000,25.95983,
471.00000,25.86077,
472.00000,25.76234,
473.00000,25.66453,
474.00000,25.56734,
475.00000,25.47076,
476.00000,25.37478,
477.00000,25.27940,
478.00000,25.18461,
479.00000,25.09041,
480.00000,24.99679,
481.00000,24.90375,
482.00000,24.81128,
483.00000,24.71938,
484.00000,24.62805,
485.00000,24.53727,
486.00000,24.44704,
487.00000,24.35737,
488.00000,24.26823,
489.00000,24.17964,
490.00000,24.09157,
491.00000,24.00404,
492.00000,23.91702,
493.00000,23.83053,
494.00000,23.74455,
495.00000,23.65907,
496.00000,23.57410,
497.00000,23.48963,
498.00000,23.40566,
499.00000,23.32217,
500.00000,23.23917,
501.00000,23.15665,
502.00000,23.07462,
503.00000,22.99305,
504.00000,22.91196,
505.00000,22.83133,
506.00000,22.75117,
507.00000,22.67146,
508.00000,22.59221,
509.00000,22.51341,
510.00000,22.43505,
511.00000,22.35714,
512.00000,22.27966,
513.00000,22.20262,
514.00000,22.12601,
515.00000,22.04982,
516.00000,21.97405,
517.00000,21.89870,
518.00000,21.82377,
519.00000,21.74925,
520.00000,21.67514,-11.94028
521.00000,21.60143,-11.65280
522.00000,21.52812,-11.36561
523.00000,21.45522,-11.07904
524.00000,21.38270,-10.79337
525.00000,21.31058,-10.50893
526.00000,21.23885,-10.22600
527.00000,21.16751,-9.94490
528.00000,21.09654,-9.66593
529.00000,21.02596,-9.38939
530.00000,20.95575,-9.11559
531.00000,20.88591,-8.84475
532.00000,20.81644,-8.57675
533.00000,20.74734,-8.31138
534.00000,20.67860,-8.04846
535.00000,20.61022,-7.78777
536.00000,20.54220,-7.52911
537.00000,20.47453,-7.27229
538.00000,20.40721,-7.01710
539.00000,20.34024,-6.76335
540.00000,20.27361,-6.51082
541.00000,20.20733,-6.25935
542.00000,20.14139,-6.00896
543.00000,20.07578,-5.75967
544.00000,20.01051,-5.51153
545.00000,19.94557,-5.26457
546.00000,19.88096,-5.01883
547.00000,19.81668,-4.77436
548.00000,19.75272,-4.53119
549.00000,19.68909,-4.28936
550.00000,19.62577,-4.04891
551.00000,19.56277,-3.80987
552.00000,19.50008,-3.57222
553.00000,19.43770,-3.33594
554.00000,19.37563,-3.10101
555.00000,19.31387,-2.86741
556.00000,19.25241,-2.63510
557.00000,19.19125,-2.40407
558.00000,19.13039,-2.17429
559.00000,19.06983,-1.94574
560.00000,19.00956,-1.71839
561.00000,18.94958,-1.49223
562.00000,18.88989,-1.26724
563.00000,18.83050,-1.04341
564.00000,18.77138,-0.82075
565.00000,18.71256,-0.59925
566.00000,18.65401,-0.37890
567.00000,18.59575,-0.15969
568.00000,18.53776,0.05838
569.00000,18.48005,0.27531
570.00000,18.42262,0.49112
571.00000,18.36545,0.70580
572.00000,18.30856,0.91937
573.00000,18.25193,1.13184
574.00000,18.19557,1.34322
575.00000,18.13947,1.55351
576.00000,18.08364,1.76272
577.00000,18.02806,1.97087
578.00000,17.97274,2.17797
579.00000,17.91768,2.38402
580.00000,17.86287,2.58903
581.00000,17.80831,2.79302
582.00000,17.75399,2.99599
583.00000,17.69993,3.19794
584.00000,17.64610,3.39889
585.00000,17.59252,3.59885
586.00000,17.53918,3.79781
587.00000,17.48607,3.99580
588.00000,17.43320,4.19280
589.00000,17.38056,4.38885
590.00000,17.32815,4.58393
591.00000,17.27597,4.77806
