min_Gmag_bin,max_Gmag_bin,factor_f300w,factor_f336w,factor_f380w,factor_f410m,factor_f439w,factor_f450w,factor_f467m,factor_f547m,factor_f555w,factor_f569w,factor_f606w,factor_f622w,factor_f675w,factor_f702w,factor_f785lp,factor_f791w,factor_f814w,factor_f850lp
4.0,5.0,0.9782174308627425,1.006371435086656,3.0878924896555677,1.1414711296446458,2.7624175128104866,3.5257992031005596,1.3706485210138886,2.088221242437007,3.3701801566412173,2.6986382193092497,2.879186647274836,2.256935059011945,2.4014611390285956,3.364012687280036,4.106379131722575,5.836228492287235,5.558036434876412,3.012525095781693
5.0,6.0,0.9316388496388195,0.9791004002134516,3.0514716304592007,1.1215416477084077,2.6370115952107795,3.4007302986990977,1.4190986546193265,2.072682208962713,3.491660510439442,2.9926693859762024,2.5078901488952696,1.864765685722117,2.304936015412666,3.0644609892687624,4.2839310839381515,5.841134931522102,5.564284798064428,3.0714396654114857
6.0,7.0,1.0964673321543656,1.1621733409581714,3.655855611496383,1.2956230131790432,2.8982827357851084,3.5151904071683457,1.4084096360648999,2.4150539816928966,4.000191986705224,3.511495905577455,2.615152756618981,2.0442886233858832,2.2979501401602236,3.301892596050843,4.550326802935784,5.902056231429373,5.88615429305519,3.3380987565337716
7.0,8.0,0.8615582768090149,0.8857014413119484,3.1055475053034503,1.1890191379322461,2.4888812108047187,3.2627279167062437,1.388536982382079,2.2937204774512723,3.8789719588201734,3.361124868094252,2.731758216877195,2.100482650821669,2.383919346997548,3.4831240367853784,4.926883375059908,5.821104717511535,5.944946304843319,3.6287652394958876
8.0,9.0,1.0674798768689735,1.082648761117746,3.4185899534673148,1.033029946453628,2.281145364727972,3.285962545345952,1.586435723730272,2.1773647594742336,3.1001268399809314,2.9668900221345273,2.5190318088120525,1.9782203244795609,2.1895384768280763,2.957234486433911,4.291593805344612,4.948875727708664,4.9844434558770185,3.1471579893142048
9.0,10.0,1.173481240253299,1.2070052292022835,3.6512104612207503,1.2442117789634741,2.5023709072324003,3.3810591448842944,1.562799395884908,2.4171629386036706,3.770424985844219,3.51119961711434,2.961569380463899,2.3833561733892434,2.2383117336726808,2.868292182312917,3.988745409289047,5.046650213396152,4.9847215251594035,2.887803128334302
10.0,11.0,1.0666835096587484,1.0828626767273066,3.2885488061075177,1.196167853383076,2.6136489492991393,3.52851492460981,1.5271686243634914,2.3994857918914647,3.858676988599667,3.4733088629517344,2.806270047710613,2.2922782182130295,1.8191108769187827,2.3557804481790434,3.4831879906286995,4.602648153300735,4.506840118906206,2.4792043843582503
11.0,12.0,1.092869528806277,1.1127229399764522,2.6884067646597964,1.1016772766431984,2.3916414812125106,3.1043100362017664,1.376182573685801,1.8636054028753453,2.724345477113433,2.5925664060130975,2.0983108562474317,1.771143080658562,1.4377654160520943,1.7937524791625423,2.7582620407732445,3.655151542242406,3.600930059634027,2.0446939763212195
12.0,13.0,1.028765843547074,1.057236861374459,2.464372410625478,1.0401077450321947,2.048834961324652,2.5840856054879917,1.194181413758503,1.9289429216093463,2.7445541842353585,2.6995095314596553,1.991123148980066,1.78780891293114,1.6805727397739434,2.3534606864547327,3.1312248646107843,3.63525334444405,3.696044004321948,2.401627291380229
13.0,14.0,1.0698230919088534,1.0891037203769967,2.121467429351582,1.0628056965715007,1.8846675432684736,2.3236910604791055,1.1783294566482008,1.5881717205033468,2.2294216605530064,2.1827994869642016,1.7303523381302925,1.496713295647452,1.4782515415427842,1.8835175906255337,2.500279219033888,2.7680045667057014,2.847106650563469,2.009795867358498
14.0,15.0,1.0799587001128956,1.07657171230878,1.8617791799424812,1.0762441143156,1.577628592006576,1.8177078274035348,1.10441888158683,1.3799241704287437,1.7833790342262172,1.7436077105774903,1.493026940667182,1.3449594703041714,1.3762021232831634,1.6652645840987703,1.9980142285457667,2.1071722045660572,2.186640050180186,1.6890091701238181
15.0,16.0,1.0436295712617074,1.0492288824767786,1.7500554361613687,1.066190422286673,1.4190040340471057,1.601253814976428,1.0667608289833277,1.2070454290178827,1.5369136638989596,1.4687770835036174,1.3516686191083485,1.197854913131513,1.269785314177666,1.5254134198433467,1.680480860347357,1.7659518094120767,1.8662863313085452,1.4756931903713126
