min_Gmag_bin,max_Gmag_bin,factor_F070W,factor_F090W
4.0,5.0,3.8346187735197876,2.5386094730929685
5.0,6.0,3.474222637327693,2.5153195560948145
6.0,7.0,3.3078830962492947,2.4985181674404995
7.0,8.0,3.3219183749465646,2.7833163544882633
8.0,9.0,3.1117409556568134,2.534189272427763
9.0,10.0,3.0499658074716987,2.2728167479279824
10.0,11.0,2.4776970958870925,2.04715294975606
11.0,12.0,1.9823023683411036,1.6350897206363038
12.0,13.0,2.092111029869681,1.829938907110705
13.0,14.0,1.813716978263638,1.6241850801928455
14.0,15.0,1.5847755072040268,1.451361781699446
15.0,16.0,1.4163937548018244,1.2853972292082165
16.0,17.0,1.382841907126778,1.1955447922451268
17.0,18.0,1.4155862920796083,1.2259733268417037
18.0,19.0,1.4362671358612704,1.146448211469885
19.0,20.0,1.4150101190602664,1.152373208129308
20.0,21.0,1.4236772740623493,1.1050905788185177
