min_Gmag_bin,max_Gmag_bin,factor_gp,factor_rp,factor_ip,factor_zp,factor_yp
4.0,5.0,3.4750530275064198,2.3235898931794874,5.36174792096582,2.9005503907487817,1.916716385373252
5.0,6.0,3.2715561099487926,1.942752432685238,4.865164683030279,3.1144064393763857,1.9320956218501457
6.0,7.0,3.3796469161999743,2.1470242592921887,4.392813348515778,3.203651954924101,1.8561771782743306
7.0,8.0,3.1769801425161965,2.2171949725833358,4.214242615213161,3.3021233228776556,2.013411715404289
8.0,9.0,2.9466127240490967,2.094948100748919,3.537730165824345,3.077311779046105,1.871586209737404
9.0,10.0,3.155302209949654,2.4828379655678354,3.950638805474335,2.958896620239163,1.6006833324742535
10.0,11.0,3.3935788271659937,2.3656451170404047,3.7163865860082925,2.7105537377564914,1.3457176736108947
11.0,12.0,2.838661779274078,1.8263826901627,3.0127237085156007,2.2114338433859633,1.1969193114732706
12.0,13.0,2.486594240690713,1.8545278551780742,2.7250672193286514,2.390564494179129,1.3786137464636856
13.0,14.0,2.206910571674195,1.5521804012030453,2.167674614655966,1.915743805300907,1.3290514710691035
14.0,15.0,1.7065737262510232,1.3761382011813132,1.7462875554798996,1.5441613616540242,1.2570506116450937
15.0,16.0,1.496342654515554,1.239858229817791,1.544658845593947,1.3717421031965835,1.1931940392386746
16.0,17.0,1.4246918535808943,1.171791861662078,1.415614876785342,1.2664812420077907,1.1146569165480578
17.0,18.0,1.4412739052205583,1.197729783006465,1.4403081282567691,1.2616768139566572,1.2015119384271866
18.0,19.0,1.4912656909786857,1.2211478936635245,1.3835311454324972,1.2190988630896915,1.0584151986278205
19.0,20.0,1.455196917332869,1.145486953459486,1.3817077138081617,1.198270205348269,1.0463450990602345
20.0,21.0,1.4869650040093916,1.13551138220448,1.495328154730363,1.2839918953593026,1.0487387935365282
